case_name,experiment,iter,plan_id,exp_date,best_speedup,avg_good_speedup,kernel_metadata
mamba_C256_M7168_S16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('mamba_C256_M7168_S16_ID0', 'plan_6_0')",eval-13-11-11-09-04-11-11-16-50,1.000159614874583,"{""1.0"": 2, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 2.8882019999999997, ""min_ms"": 2.884032, ""max_ms"": 2.893787, ""rel_diffs"": 0.0033824173934270427, ""hbm_read_bytes"": 181682176, ""hbm_write_bytes"": 62390272, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 65143296, ""sbuf_write_bytes"": 184434688, ""spill_reload_bytes"": 55050240, ""spill_save_bytes"": 55050240, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.48117070551117674, ""hfu_estimated_percent"": 0.00045769081027937573, ""scalar_engine_active_time_percent"": 0.1856093164046864, ""vector_engine_active_time_percent"": 0.6112966454794925, ""gpsimd_engine_active_time_percent"": 0.00038156825148503835}"
mamba_C256_M7168_S16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('mamba_C256_M7168_S16_ID445700ada6dd4daaab9a961cb6f46aea', 'plan_6_0')",eval-13-11-11-09-04-11-11-18-30,1.268324799279223,"{""1.0"": 10, ""1.01"": 10, ""1.05"": 8, ""1.1"": 2, ""1.2"": 2, ""1.4"": 0}","{""latency"": 2.277542, ""min_ms"": 2.2729880000000002, ""max_ms"": 2.2823930000000003, ""rel_diffs"": 0.00413772532015132, ""hbm_read_bytes"": 126631936, ""hbm_write_bytes"": 7340032, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 10093056, ""sbuf_write_bytes"": 129384448, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.8766051118992295, ""hfu_estimated_percent"": 0.0005867708436267972, ""scalar_engine_active_time_percent"": 0.23821417650303459, ""vector_engine_active_time_percent"": 0.7835998706076757, ""gpsimd_engine_active_time_percent"": 0.0004888530066492978}"
mamba_C256_M7168_S16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('mamba_C256_M7168_S16_ID36656541f27e4ec09d58e1ee3b326ff0', 'plan_1_0')",eval-13-11-11-09-04-11-11-19-26,1.2683654530533677,"{""1.0"": 18, ""1.01"": 18, ""1.05"": 14, ""1.1"": 6, ""1.2"": 6, ""1.4"": 0}","{""latency"": 2.277469, ""min_ms"": 2.27281, ""max_ms"": 2.28241, ""rel_diffs"": 0.0042238462519963525, ""hbm_read_bytes"": 126631936, ""hbm_write_bytes"": 7340032, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 10093056, ""sbuf_write_bytes"": 129384448, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.8766051118992295, ""hfu_estimated_percent"": 0.0005835670506292171, ""scalar_engine_active_time_percent"": 0.2369111374188308, ""vector_engine_active_time_percent"": 0.7794288473375132, ""gpsimd_engine_active_time_percent"": 0.0004865089141662084}"
matmul_K5120_M4096_N12288,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('matmul_K5120_M4096_N12288_ID0', 'plan_0_0')",eval-3-11-11-09-04-11-11-16-50,0.9969052944074082,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 35.309013, ""min_ms"": 35.254569, ""max_ms"": 35.386348, ""rel_diffs"": 0.0037379268485739155, ""hbm_read_bytes"": 9059762176, ""hbm_write_bytes"": 201326592, ""psum_read_bytes"": 9437184, ""psum_write_bytes"": 141557760, ""sbuf_read_bytes"": 390070272, ""sbuf_write_bytes"": 9069199360, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 1159641169920, ""transpose_flops"": 128849018880, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 111.30356018200732, ""hfu_estimated_percent"": 0.35985802757514457, ""scalar_engine_active_time_percent"": 0.06811238167204679, ""vector_engine_active_time_percent"": 4.169103126144265e-06, ""gpsimd_engine_active_time_percent"": 0.0006856438856753911}"
matmul_K5120_M4096_N12288,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('matmul_K5120_M4096_N12288_ID3a7ee74ee844461b8c7c636b0b3c4ab9', 'plan_5_1')",eval-3-11-11-09-04-11-11-18-30,1.0000090058289306,"{""1.0"": 1, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 35.199425, ""min_ms"": 35.16323, ""max_ms"": 35.223240000000004, ""rel_diffs"": 0.0017066122765174146, ""hbm_read_bytes"": 9059762176, ""hbm_write_bytes"": 201326592, ""psum_read_bytes"": 9437184, ""psum_write_bytes"": 141557760, ""sbuf_read_bytes"": 390070272, ""sbuf_write_bytes"": 9069199360, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 1159641169920, ""transpose_flops"": 128849018880, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 111.30356018200732, ""hfu_estimated_percent"": 0.35976893545739963, ""scalar_engine_active_time_percent"": 0.06812043845661801, ""vector_engine_active_time_percent"": 4.16807095734951e-06, ""gpsimd_engine_active_time_percent"": 0.0006854538414861452}"
matmul_add_rmsnorm_K2048_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('matmul_add_rmsnorm_K2048_M4096_N2048_ID0', 'plan_1_1')",eval-1-11-11-09-04-11-11-16-50,0.8616741796325917,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 3.09465, ""min_ms"": 3.0600549999999997, ""max_ms"": 3.112708, ""rel_diffs"": 0.017206553476980083, ""hbm_read_bytes"": 115417088, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 2367488, ""psum_write_bytes"": 12591104, ""sbuf_read_bytes"": 55321344, ""sbuf_write_bytes"": 118309248, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 103079739392, ""transpose_flops"": 34359738368, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 461.29623315919713, ""hfu_estimated_percent"": 0.37746444121522355, ""scalar_engine_active_time_percent"": 0.23786489620991355, ""vector_engine_active_time_percent"": 0.10587094272077291, ""gpsimd_engine_active_time_percent"": 0.000963513040457545}"
matmul_add_rmsnorm_K2048_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('matmul_add_rmsnorm_K2048_M4096_N2048_ID4eef20b8a4cc40cc89f70a966cfcadc2', 'plan_2_0')",eval-1-11-11-09-04-11-11-18-30,1.0001560294115441,"{""1.0"": 12, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 2.6661639999999998, ""min_ms"": 2.661875, ""max_ms"": 2.668902, ""rel_diffs"": 0.002639868513735579, ""hbm_read_bytes"": 98115584, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 1318912, ""psum_write_bytes"": 10493952, ""sbuf_read_bytes"": 49029888, ""sbuf_write_bytes"": 99959168, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 85899870208, ""transpose_flops"": 17179869184, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 521.9107820568655, ""hfu_estimated_percent"": 0.3687091876026553, ""scalar_engine_active_time_percent"": 0.16786501653042124, ""vector_engine_active_time_percent"": 0.12411146465429972, ""gpsimd_engine_active_time_percent"": 0.0011344560008125955}"
matmul_add_rmsnorm_K2048_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('matmul_add_rmsnorm_K2048_M4096_N2048_ID1bfca2e1aca6475c9ce54b103196cfb3', 'plan_6_1')",eval-1-11-11-09-04-11-11-19-17,0.8664870164073566,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 3.077461, ""min_ms"": 3.054174, ""max_ms"": 3.109925, ""rel_diffs"": 0.018254035297268552, ""hbm_read_bytes"": 115417088, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 2367488, ""psum_write_bytes"": 12591104, ""sbuf_read_bytes"": 55321344, ""sbuf_write_bytes"": 118309248, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 103079739392, ""transpose_flops"": 34359738368, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 461.29623315919713, ""hfu_estimated_percent"": 0.37721803523676095, ""scalar_engine_active_time_percent"": 0.2376314897633534, ""vector_engine_active_time_percent"": 0.10579194051692553, ""gpsimd_engine_active_time_percent"": 0.000962642991660068}"
rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('rmsnorm_matmul_K1024_M4096_N2048_ID0', 'plan_9_0')",eval-5-11-11-09-04-11-11-16-50,1.0000208385034923,"{""1.0"": 1, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.055738, ""min_ms"": 1.053273, ""max_ms"": 1.060667, ""rel_diffs"": 0.007020022349381522, ""hbm_read_bytes"": 39387136, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 393472, ""psum_write_bytes"": 4456704, ""sbuf_read_bytes"": 39846016, ""sbuf_write_bytes"": 40173824, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507222016, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 471.0584007187781, ""hfu_estimated_percent"": 0.4073882536169943, ""scalar_engine_active_time_percent"": 0.1765576567104828, ""vector_engine_active_time_percent"": 0.038708266681770555, ""gpsimd_engine_active_time_percent"": 0.005054038305808423}"
rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('rmsnorm_matmul_K1024_M4096_N2048_ID50a581a716714baa906f9b4b99bc517b', 'plan_7_1')",eval-5-11-11-09-04-11-11-18-30,0.9998039711468255,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.055967, ""min_ms"": 1.0526369999999998, ""max_ms"": 1.058974, ""rel_diffs"": 0.006020118996387416, ""hbm_read_bytes"": 39387136, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 393472, ""psum_write_bytes"": 4456704, ""sbuf_read_bytes"": 39846016, ""sbuf_write_bytes"": 40173824, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507222016, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 471.0584007187781, ""hfu_estimated_percent"": 0.4096145273403434, ""scalar_engine_active_time_percent"": 0.17750692922414446, ""vector_engine_active_time_percent"": 0.03908668863275284, ""gpsimd_engine_active_time_percent"": 0.0050838583067500534}"
